Top #,Twitter 
140,"Kushi Maqbool,Howto & Style,1.17M"
141,"Al Falah Official,Education,1.16M"
142,"Our Vines,Entertainment,1.15M"
143,"PakWheels.com,Autos & Vehicles,1.15M"
144,"Duniya Tv,Entertainment,1.14M"
145,"The Beauty Writer,Howto & Style,1.14M"
146,"Jani TV,Travel & Events,1.13M"
147,"GFXMentor,Education,1.13M"
148,"Javed Chaudhry,News & Politics,1.12M"
149,"TV One,Entertainment,1.1M"
150,"Factical,Education,1.1M"
151,"Tablighi Jamaat,Education,1.1M"
152,"Remedies with Khanum,Howto & Style,1.09M"
153,"Waleed Qureshi,Entertainment,1.08M"
154,"M3 Media Productions - Official,Music,1.08M"
155,"My Technical Solution,Education,1.08M"
156,"ARY Qtv,Education,1.08M"
157,"SpeakOut,Education,1.07M"
158,"You Tv HD,Comedy,1.07M"
159,"Yes I Can Cook,Howto & Style,1.07M"
160,"Dr Muhammad Sharafat Ali,Education,1.06M"
161,"Irfan Junejo,People & Blogs,1.05M"
162,"Cricket Expert,Sports,1.05M"
163,"BOL Media BOL,Entertainment,1.05M"
164,"Vicky Babu Production,Music,1.04M"
165,"Akram Rahi,Music,1.04M"
166,"Health Secrets,People & Blogs,1.03M"
167,"KhaneShaney KS,Education,1.03M"
168,"Cooking with Asifa,People & Blogs,1.01M"
169,"The Urdu Islamic Teacher,Education,1.01M"
170,"Peer Zulfiqar Ahmed Naqshbandi,People & Blogs,1M"
171,"Reality Studio,People & Blogs,1M"
172,"Zaitoon Tv,Education,1M"
173,"Tubelight,People & Blogs,992K"
174,"Haqeeqat Point,Education,988K"
175,"Hammad Safi,People & Blogs,982K"
176,"Islam For All,Education,981K"
177,"Apni Dunya Tv,Education,978K"
178,"Hakeem Imran Kamboh,Education,969K"
179,"Sabir Shakir,News & Politics,960K"
180,"Urdu Diary,Education,960K"
181,"Kitchen Gardening,Howto & Style,951K"
182,"Kun Foods,People & Blogs,948K"
183,"Naya Pakistan International,Education,946K"
184,"Qadri Sound and Video,Entertainment,946K"
185,"Professor Dr Javed Iqbal,Education,942K"
186,"Shayan Abeed,Film & Animation,941K"
187,"CHOTA IMRAN KHAN,Entertainment,939K"
188,"oladoc - Find the Best Doctors,Howto & Style,939K"
189,"BCPM Science,Education,922K"
190,"Aftab Iqbal,Entertainment,921K"
191,"SajoO TV,People & Blogs,908K"
192,"Hassan Sherwani,Music,907K"
193,"The Pakistani Damsel,People & Blogs,901K"
194,"Dream Facts,People & Blogs,899K"
195,"Wazifa Online Official,Education,888K"
196,"Lahore Tv,Entertainment,888K"
197,"Nishoo Khan,Howto & Style,884K"
198,"Z MUSIC,Music,876K"
199,"Natural Health Tips,People & Blogs,874K"
200,"Bawa Toni Shah,Education,873K"
201,"Haqaiq Info,Education,865K"
202,"That Was Crazy,Entertainment,861K"
203,"Maham Waqar,Music,853K"
204,"Shahid Afridi,Sports,851K"
205,"Darsequran.com,People & Blogs,840K"
206,"TheFinalRevelation,Education,838K"
207,"Learn Quran For Kids,Education,837K"
208,"ea English,Education,837K"
209,"ROHANI WAZAIF,People & Blogs,835K"
210,"Abbtakk,News & Politics,831K"
211,"Mysterious World Urdu,Travel & Events,826K"
212,"Binoria Media,People & Blogs,821K"
213,"Madani Channel Urdu Live,Education,820K"
214,"Punjabi Da Kitchen,People & Blogs,813K"
215,"Tamoor Pardasi,Education,802K"
216,"Learn Kurooji,Education,799K"
217,"Humanitarians,Entertainment,797K"
218,"Bolti Kitabain Official,Education,796K"
219,"AVT Khyber Official,Entertainment,793K"
220,"South Filmy News,Film & Animation,792K"
221,"The Info Light,People & Blogs,790K"
222,"URDU GIRLS,Howto & Style,788K"
223,"ilm Ki Baat,Education,786K"
224,"Wisdom Tv,Entertainment,781K"
225,"Factrikz,Entertainment,780K"
226,"Kashees Beauty Parlor,Entertainment,776K"
227,"SH Records HD,Music,776K"
228,"OutStyle.com,Howto & Style,774K"
229,"Hafsa's Kitchen,Howto & Style,771K"
230,"Geo Kahani,Entertainment,769K"
231,"Ambala Health Care,Education,767K"
232,"The Holy Quran Online,Music,764K"
233,"Khabar Gaam,News & Politics,762K"
234,"Daily Baat,People & Blogs,757K"
235,"Online Tutor,Science & Technology,756K"
236,"Muhammad Raza SaQib Mustafai,People & Blogs,755K"
237,"SiLent Tears,Education,753K"
238,"Fsee Production,Education,752K"
239,"Abid Raja,Education,751K"
240,"Gaane Shaane,Music,751K"
241,"The Bottom Line,Education,750K"
242,"Azaad News,News & Politics,748K"
243,"AR Videos,People & Blogs,746K"
244,"Rashida Hussain,People & Blogs,743K"
245,"ARY Musik,Entertainment,739K"
246,"Masala Tv Recipes,Howto & Style,734K"
247,"WWF - Pakistan,Nonprofits & Activism,731K"
248,"AapNewsPK,News & Politics,731K"
249,"Naeem aw Rameez,Entertainment,729K"
250,"Zawar Motors,Autos & Vehicles,726K"
